  # z          dl         err_dl
   0.01400   59.42974    0.85116
   0.01940   80.46223    0.98008
   0.02640  111.38340    1.18489
   0.03290  139.43012    1.50893
   0.03960  168.76555    2.21112
   0.04750  202.73503    3.11832
   0.05600  237.22977    3.51233 
   0.06400  276.75206    5.59501
   0.07210  313.04119    5.57181
   0.08110  372.28635    7.24352
   0.08890  398.22735    6.66624
   0.10010  465.33407    7.53244
   0.10710  494.77040    7.64437
   0.11950  542.28289    6.49299
   0.12780  590.33771    7.16353
   0.13960  666.37488    7.16558
   0.15190  706.15576    7.70716
   0.16350  746.19228    8.88295
   0.17780  846.79869    7.66282
   0.19060  914.00616    9.28118
   0.20670  993.29937    9.78903
   0.22160 1076.97705   11.55601
   0.24050 1175.89570   12.02174
   0.25580 1261.12639   11.76060
   0.27620 1357.44660   13.81531
   0.29720 1498.99535   14.91076
   0.32150 1669.76539   16.45565
   0.34530 1791.90516   19.30975
   0.37080 1943.47430   19.19781
   0.40490 2167.62349   32.19284
   0.43550 2352.80238   27.52104
   0.47380 2627.09228   35.50824
   0.51740 2885.57183   35.67975
   0.57420 3311.97386   37.36790
   0.62990 3636.85182   51.91980
   0.72400 4298.58838   53.44847
   0.82100 5115.76276   58.42622
   0.95110 6140.82151   78.05150
   1.23360 8332.95053  216.24118
   1.61230 11096.71883  375.60175
